sid,name,state,pre_avg,post_avg,delta,pre_n_avg,asn_share,asn_pre,asn_post,asn_delta,wht_pre,wht_post,wht_delta,ecd_pre,ecd_post,ecd_delta
1713530,Edwardsville CUSD 7,IL,0.7130183316394159,0.10596610337614362,-0.6070522282632722,549.7777777777778,0.006038647342995169,1.212343811535538,,,0.7692558512957994,0.15923765652700614,-0.6100181947687933,0.14230500704561036,-0.3867324100639793,-0.5290374171095896
3415360,South Plainfield School District,NJ,0.5069981318942998,0.016441575096438076,-0.4905565567978617,240.11111111111111,0.1810406272273699,0.8490710871014773,0.4704955088047907,-0.3785755782966866,0.5085778498135962,0.024345135025042056,-0.4842327147885542,0.16640178297461003,-0.3857607174220055,-0.5521625003966155
3400024,North Star Academy Charter School,NJ,0.9090788687650798,0.42269528250257055,-0.48638358626250927,439.1111111111111,0.0,,,,,,,0.8756611019229456,0.378304211852639,-0.49735689007030653
3414850,Secaucus School District,NJ,0.49249823261727627,0.03526351274401507,-0.4572347198732612,164.11111111111111,0.2844311377245509,1.0140798403043862,0.5751501718471151,-0.4389296684572711,0.3438462900968224,-0.15868180519189537,-0.5025280952887178,0.05799987015270352,-0.41105911116635596,-0.4690589813190595
4226580,Wilson SD,PA,0.4897914863074383,0.04392021283815906,-0.44587127346927924,460.3333333333333,0.05892921307941071,0.9262373227223386,0.6508586932953239,-0.27537862942701474,0.6220542875378628,0.2251746661802968,-0.39687962135756605,0.045445778118339775,-0.3053179736630944,-0.35076375178143415
4202790,Avon Grove SD,PA,0.48698721336225975,0.047444616591677036,-0.4395425967705827,368.44444444444446,0.0,,,,0.7616754371588589,0.33526687904190133,-0.42640855811695755,-0.24111975844611452,-0.6566709872678955,-0.41555122882178097
2617940,Haslett Public Schools,MI,0.6440128862853123,0.2068111072943508,-0.43720177899096146,194.0,0.0,,,,0.7376108577716436,0.34042245893792145,-0.39718839883372214,0.090666962919104,-0.3684730128124571,-0.45913997573156107
4219350,Plum Borough SD,PA,0.5554233374594435,0.12122992231394203,-0.43419341514550147,290.6666666666667,0.0,,,,0.5977565180525647,0.16683520917348002,-0.43092130887908464,0.19971879221933225,-0.1962270470599786,-0.3959458392793108
3407560,Howell Township Public School District,NJ,0.4834039046350989,0.060537893785998116,-0.4228660108491008,610.1111111111111,0.052222222222222225,0.8233165606463551,0.6466308062774161,-0.17668575436893896,0.5413495690794634,0.19270192790869356,-0.34864764117076985,-0.09218904376015498,-0.5281764628934283,-0.4359874191332734
2503030,Bridgewater-Raynham,MA,0.5233101348081006,0.10844637912603426,-0.41486375568206635,415.0,0.0,,,,0.5632489048809712,0.17114832961728021,-0.392100575263691,0.1928456083544886,-0.31096591127358214,-0.5038115196280708
4210870,Great Valley SD,PA,0.7784556153452419,0.380909891607474,-0.39754572373776786,325.22222222222223,0.22611305652826413,1.2636133770080913,0.6797243585497784,-0.5838890184583129,0.7687232672947997,0.44405340467336435,-0.3246698626214353,-0.053966388227580785,-0.4912918004119035,-0.43732541218432275
3415510,Sparta Township Public School District,NJ,0.6834902490796522,0.29063702136736674,-0.3928532277122854,212.875,0.0,,,,0.6898524889635423,0.28331250079314096,-0.4065399881704014,,,
