sedaadmin,sedaadminname,subject,grade,year,stateabb,cs_mn_all,tot_asmt_all,cs_mn_asn,tot_asmt_asn,cs_mn_blk,tot_asmt_blk,cs_mn_hsp,tot_asmt_hsp,cs_mn_wht,tot_asmt_wht,cs_mn_ecd,tot_asmt_ecd,cs_mn_nec,tot_asmt_nec
614880,Garden Grove Unified,rla,4,2010,CA,-.3368895845595552,3703,.1648998306278079,1221,-.3582961016577792,35,-.670803024767945,1964,-.1066943463789773,380,-.5093941163503578,2250,-.0525328923143257,1453
614880,Garden Grove Unified,rla,4,2011,CA,-.2311591874812011,3648,.323811832633083,1211,-.2635226955989532,27,-.6208595366111268,1989,.2908204677316732,339,-.4059134404554576,2633,.2715977568325236,1015
614880,Garden Grove Unified,rla,4,2012,CA,-.2993080207709504,3435,.2563321698826724,1204,-.4220779727778849,30,-.6805199839286292,1873,.0339709710609757,311,-.4654250314712003,2272,.0588024116116558,1163
614880,Garden Grove Unified,rla,4,2013,CA,-.2472408505012396,3718,.4160957667253348,1378,-.4456625494275112,32,-.6847379157498714,1916,.0665474423088891,375,-.4234115837736661,2575,.2007708609997789,1143
614880,Garden Grove Unified,rla,4,2015,CA,-.1975534788473335,3486,.4381336635905493,1209,-.2816534932228575,20,-.6260971063666131,1938,.027891115646335,292,-.3866830255060215,2702,.4725023975345048,784
614880,Garden Grove Unified,rla,4,2016,CA,-.0796227484727609,3462,.5949688510304346,1189,,,-.4959025747396751,1956,.1670208531551295,267,-.2801688153618388,2464,.4439910935210991,998
614880,Garden Grove Unified,rla,4,2017,CA,.0590006418464924,3271,.721253061792769,1189,,,-.3830870267122685,1767,.2420193620658278,246,-.1439026959960831,2262,.5539090067671738,1009
614880,Garden Grove Unified,rla,4,2018,CA,.1212801700362614,3165,.7436969966901883,1140,-.2597016405329233,25,-.2885623071616161,1716,.4352423473635539,208,-.0762246036168166,2307,.6970440179179801,858
614880,Garden Grove Unified,rla,4,2019,CA,.1049751089117032,2970,.7230123255220493,1032,,,-.2826513797411416,1625,.4021376923432733,217,-.0648781267487914,2101,.5941576486289388,869
614880,Garden Grove Unified,rla,4,2022,CA,.182120840149905,2672,.8073511759459857,930,,,-.2326390189893312,1424,.4926761314525957,160,.0116008007347735,2007,.7140986691508173,665
614880,Garden Grove Unified,rla,4,2023,CA,.1144724633461419,2701,.6704210346815895,994,,,-.3048614775901546,1424,.4013225954263627,144,-.0953394023432085,2060,.8024806449207418,641
614880,Garden Grove Unified,rla,4,2024,CA,.0848528332539216,2569,.5869717137038023,869,,,-.298360915622213,1414,.5012503461106692,143,-.0629861140907187,2064,.746488320398912,505
614880,Garden Grove Unified,rla,4,2025,CA,.0885322349391629,2507,.6983338344988401,902,,,-.3589641153256761,1329,.4318292791463988,137,-.0867454484826123,1955,.6773576494939031,552
614880,Garden Grove Unified,rla,5,2009,CA,-.3892185148645673,3577,.1498499197983597,1004,-.3641931593545701,35,-.7144204703993483,2038,-.0186409245919518,403,-.557378535902422,2478,.0030087966872228,1099
614880,Garden Grove Unified,rla,5,2010,CA,-.3399975243495145,3689,.2944197404428952,1139,-.3399731509792465,34,-.7287699096763668,2049,-.0165393291414991,371,-.5452874146555103,2293,.0154734109844882,1396
614880,Garden Grove Unified,rla,5,2011,CA,-.2506979325281434,3712,.2635209124765709,1250,-.4601671565056938,35,-.611229856646004,1953,.0350546324495894,398,-.4307907348451273,2590,.200001661733309,1122
614880,Garden Grove Unified,rla,5,2012,CA,-.2568103631789005,3674,.2741447698145589,1313,-.4440203673698549,26,-.6642392171474113,2002,.1485884534165378,323,-.408031198445321,2466,.068169415691941,1208
614880,Garden Grove Unified,rla,5,2013,CA,-.2592630378405121,3457,.2867109964872734,1239,-.2813002007209237,27,-.6574114630583485,1872,.0900747510854906,305,-.4137760448308105,2429,.1174596625705808,1028
614880,Garden Grove Unified,rla,5,2015,CA,-.1301091239007824,3413,.4669782915111561,1278,-.0253718220636205,20,-.5614822156219196,1814,.1565062218350775,278,-.3104826222666698,2624,.4740387437406433,789
