district,subgroup,pre_2017_19,post_2022_25,delta
Garden Grove Unified,Hispanic,-0.3048,-0.3118,-0.0071
Garden Grove Unified,EconDis,-0.0860,-0.0641,0.0220
Garden Grove Unified,Not-ECD,0.6193,0.6945,0.0752
Modesto City Elem,All,-0.6266,-0.6892,-0.0626
Modesto City Elem,Asian,-0.2467,-0.5036,-0.2569
Modesto City Elem,White,-0.2175,-0.2415,-0.0239
Modesto City Elem,Black,-0.8840,-0.9026,-0.0186
Modesto City Elem,Hispanic,-0.7222,-0.7788,-0.0566
Modesto City Elem,EconDis,-0.7169,-0.7812,-0.0643
Modesto City Elem,Not-ECD,0.1843,-0.0414,-0.2257
Sanger Unified,All,-0.0423,-0.1037,-0.0614
Sanger Unified,Asian,0.1512,0.1196,-0.0315
Sanger Unified,White,0.3932,0.3356,-0.0577
Sanger Unified,Hispanic,-0.1709,-0.2399,-0.0690
Sanger Unified,EconDis,-0.1968,-0.2819,-0.0850
Sanger Unified,Not-ECD,0.4139,0.2808,-0.1331
Aldine ISD,All,-0.5452,-0.6730,-0.1277
Aldine ISD,Asian,0.0379,0.1696,0.1316
Aldine ISD,White,-0.4359,-0.6127,-0.1767
Aldine ISD,Black,-0.6925,-0.8766,-0.1841
Aldine ISD,Hispanic,-0.5155,-0.6182,-0.1027
Aldine ISD,EconDis,-0.5684,-0.6943,-0.1258
Aldine ISD,Not-ECD,-0.3312,-0.3880,-0.0568
Brownsville ISD,All,-0.0472,-0.1799,-0.1327
Brownsville ISD,Hispanic,-0.0505,-0.1824,-0.1319
Brownsville ISD,EconDis,-0.0799,-0.2546,-0.1747
Brownsville ISD,Not-ECD,0.4266,0.5304,0.1038
Coppell ISD,All,0.6686,0.7371,0.0685
Coppell ISD,Asian,0.9778,1.1087,0.1309
Coppell ISD,White,0.4844,0.4680,-0.0164
Coppell ISD,Black,-0.0093,-0.1604,-0.1511
Coppell ISD,Hispanic,0.1976,0.0409,-0.1567
Coppell ISD,EconDis,-0.0507,-0.3525,-0.3019
Coppell ISD,Not-ECD,0.7502,0.7908,0.0406
Plano ISD,All,0.2903,0.2473,-0.0430
Plano ISD,Asian,0.8780,0.8819,0.0039
Plano ISD,White,0.4968,0.3979,-0.0990
Plano ISD,Black,-0.2931,-0.4020,-0.1089
Plano ISD,Hispanic,-0.2106,-0.2250,-0.0144
Plano ISD,EconDis,-0.3494,-0.3754,-0.0259
Plano ISD,Not-ECD,0.6080,0.5904,-0.0176
Frisco ISD,All,0.5163,0.6128,0.0965
Frisco ISD,Asian,0.9059,1.1156,0.2097
Frisco ISD,White,0.5022,0.4269,-0.0753
Frisco ISD,Black,-0.0089,-0.2372,-0.2283
Frisco ISD,Hispanic,0.1403,0.0789,-0.0614
Frisco ISD,EconDis,-0.2165,-0.3279,-0.1114
Frisco ISD,Not-ECD,0.6067,0.7393,0.1326
Spring Branch ISD,All,-0.2056,0.0785,0.2841
Spring Branch ISD,Asian,0.5792,1.2966,0.7174
Spring Branch ISD,White,0.7170,0.8521,0.1351
Spring Branch ISD,Black,-0.5644,-0.5192,0.0452
Spring Branch ISD,Hispanic,-0.6228,-0.3907,0.2320
Spring Branch ISD,EconDis,-0.6685,-0.5253,0.1433
Spring Branch ISD,Not-ECD,0.5873,0.7799,0.1926
West Windsor-Plainsboro,All,0.8489,0.6331,-0.2158
West Windsor-Plainsboro,Asian,0.9953,0.8076,-0.1877
West Windsor-Plainsboro,White,0.6563,0.2864,-0.3699
West Windsor-Plainsboro,Black,-0.0406,-0.3354,-0.2948
West Windsor-Plainsboro,Hispanic,0.0487,-0.1508,-0.1995
West Windsor-Plainsboro,EconDis,-0.1651,-0.4622,-0.2971
West Windsor-Plainsboro,Not-ECD,0.8904,0.7086,-0.1818
Millburn Twp,All,1.1631,1.1004,-0.0626
Millburn Twp,Asian,1.4713,1.3660,-0.1053
Millburn Twp,White,1.0036,0.7851,-0.2185
Millburn Twp,Not-ECD,1.1706,1.1137,-0.0569
Princeton PS,All,0.6732,0.7333,0.0602
Princeton PS,Asian,1.0221,0.9844,-0.0377
Princeton PS,White,0.7822,0.8718,0.0896
Princeton PS,Hispanic,0.2199,0.0470,-0.1729
Princeton PS,EconDis,-0.1097,-0.2774,-0.1677
Princeton PS,Not-ECD,0.8205,0.8707,0.0501
Bellevue SD,All,0.6550,0.6459,-0.0091
Bellevue SD,Asian,1.0515,1.0777,0.0262
Bellevue SD,White,0.5972,0.5387,-0.0585
Bellevue SD,Black,-0.3446,-0.4900,-0.1455
Bellevue SD,Hispanic,-0.3834,-0.5589,-0.1755
Bellevue SD,EconDis,-0.4259,-0.4709,-0.0450
Bellevue SD,Not-ECD,0.8535,0.9075,0.0541
Issaquah SD,All,0.6443,0.7311,0.0868
Issaquah SD,Asian,0.9949,1.0664,0.0715
Issaquah SD,White,0.5699,0.6092,0.0394
Issaquah SD,Hispanic,-0.0500,0.0466,0.0966
Issaquah SD,EconDis,-0.3973,-0.2816,0.1157
Issaquah SD,Not-ECD,0.7234,0.8477,0.1242
Lake Washington SD,All,0.8683,0.8658,-0.0026
Lake Washington SD,Asian,1.3003,1.2448,-0.0555
Lake Washington SD,White,0.7821,0.6858,-0.0963
