sedalea,sedaleaname,subject,grade,year,stateabb,cs_mn_all,tot_asmt_all,cs_mn_asn,tot_asmt_asn,cs_mn_blk,tot_asmt_blk,cs_mn_hsp,tot_asmt_hsp,cs_mn_wht,tot_asmt_wht,cs_mn_ecd,tot_asmt_ecd,cs_mn_nec,tot_asmt_nec
624500,Milpitas Unified,rla,4,2012,CA,.1291714984317012,776,.2909875408089114,514,-.3738290682199956,21,-.473778238448617,154,.3396767901450741,57,-.3751873597344793,292,.4134748900770728,484
624500,Milpitas Unified,rla,4,2013,CA,.1435517117899563,797,.3566170893875511,526,,,-.5951539805902885,163,.1034724952733782,60,-.2707673887475972,342,.4264890672632712,455
624500,Milpitas Unified,rla,4,2015,CA,.3862026216836652,755,.6462979430775896,516,,,-.3078649230069224,151,.1524176204591494,42,-.1496604406641565,283,.7570203022103663,472
624500,Milpitas Unified,rla,4,2016,CA,.4529822109248501,795,.6597152022383261,545,,,-.2912441338953705,168,.6349102286749896,39,-.0555543688717992,262,.6808462081306709,533
624500,Milpitas Unified,rla,4,2017,CA,.3461668621427757,739,.6425585188914844,475,-.7033830663562256,20,-.461660336333403,163,.4728354865272441,43,-.2324594930931973,285,.6754853244755883,454
624500,Milpitas Unified,rla,4,2018,CA,.3305404424430127,733,.5501172607291583,493,,,-.3100023260885316,151,.1369992755553297,33,-.1534668115126115,290,.5837356199068817,443
624500,Milpitas Unified,rla,4,2019,CA,.4157428742313694,717,.6939321982318619,472,,,-.4774645804495069,146,.4599347708554972,40,-.2977912911294789,286,.8417554788013625,431
624500,Milpitas Unified,rla,5,2009,CA,-.0903553187617297,711,,,,,,,,,-.6483792590376189,258,.2402225712719352,453
624500,Milpitas Unified,rla,5,2010,CA,-.0150110129571889,730,,,,,,,,,-.5567694230256753,301,.3708417268382342,429
624500,Milpitas Unified,rla,5,2011,CA,.0843931235014145,830,,,,,,,,,-.3443672378633377,336,.4108069928419283,494
624500,Milpitas Unified,rla,5,2012,CA,.0565015792261047,738,.2965848450728611,469,-.4451015784573656,28,-.4569203808377615,170,.3263463449079105,47,-.2752519255274306,304,.2714618448307829,434
624500,Milpitas Unified,rla,5,2013,CA,.15417606010216,771,.3252845631628996,518,-.4824684710028921,20,-.4447103355599448,144,.2371936877764266,59,-.2937960932088959,320,.4446962978889802,451
624500,Milpitas Unified,rla,5,2015,CA,.3812403023564096,739,.6538989838330144,514,,,-.3459237291898846,154,.215388213707775,34,-.1732930456496534,288,.7346399995339724,451
624500,Milpitas Unified,rla,5,2016,CA,.3557395507825288,772,.6078790076057217,532,,,-.2576104084376278,151,.0615229354705518,44,-.1411822077772751,284,.662679000336682,488
